ID,BANDO,PROV,DATA.CRE,FORMA.GIU,ART.B.CU,FILANTRO,INN.CULT,POL.SOC,RIC.ISTR,APP.SOFT,ARCH.BIB,ARCHITET,ARTI.VIS,ARTIGIAN,AUDIOVIS,COMMUNIT,CONCORSO,DESIGN,DID.FORM,EDITORIA,ENOGASTR,EVENTI,FESTIVAL,INT.SOC,PATRIMON,SOC.NET,SPAZI,SPETTAC,SPORT,TURISMO,WEB,ALTRO,AREA.TER,RIL.TER,TARGET,T.GIOVAN,T.ADULTI,T.ANZIAN,T.SETT,T.DONNE,T.MIGRAN,T.DV.AB,T.ALTRO,FIN.PREC,FIN.PR.E,E.RICAVI,E.C.AMM,E.C.PRIV,E.COFIN,E.SPAOLO,E.ALTRO,U.HR,U.SERVIZ,U.BENI,U.ALTRO,E.U.TOT
14,Open 2016,Torino,2015 e oltre,Cooperativa,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Internazionale,Nazionale,Specifico,Assente,Assente,Assente,Assente,Assente,Presente,Assente, ,No, ,31.2,0,31.2,12.5,25,0,68.8,25,3.1,3.1,Fino a € 20.000
15,Open 2016,Altra provincia italiana,2015 e oltre,Impresa sociale,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Nazionale,Nazionale,Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,0,0,0,10.1,89.9,0,38.2,27,13.1,21.7,€ 40.000-49.999
16,Open 2016,Genova,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Assente,Assente,Presente,Assente,Assente,Assente,Assente, ,No, ,10,0,0,0,90,0,96,0,4,0,€ 20.000-29.999
17,Open 2016,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Nazionale,Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,No, ,0,0,13,10.7,76.3,0,51.1,48.9,0,0,€ 60.000-69.999
18,Open 2016,Genova,2000-2004,"Istruzione, università e ricerca",Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Locale (comunale o provinciale),Internazionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,No, ,0,0,0,31.5,68.5,0,94.5,5.5,0,0,€ 70.000 e oltre
19,Open 2016,Torino,2010-2014,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Nazionale,Nazionale,Specifico,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Sì,Fino a € 20.000,0,15.4,7.8,0,76.8,0,81.4,14.6,4,0,€ 60.000-69.999
20,Open 2016,Altra provincia piemontese,2010-2014,Fondazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Presente, ,Internazionale,Internazionale,Generico, , , , , , , , ,No, ,6.5,0,0,8.9,81.3,3.3,7.3,78,0,14.6,€ 60.000-69.999
21,Open 2016,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Internazionale,Generico, , , , , , , , ,No, ,0,1.5,9.8,13.6,75,0,39.4,59.5,1.1,0,€ 60.000-69.999
22,Open 2016,Torino,2005-2009,Altro,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente, ,Regionale o interregionale,Regionale o interregionale,Generico, , , , , , , , ,No, ,0,25,0,0,75,0,71.2,28.7,0,0,€ 40.000-49.999
23,Open 2016,Torino,2010-2014,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,24.7,0,4.8,10.4,60,0,26.5,43.4,18.1,12.1,€ 70.000 e oltre
24,Open 2016,Torino,2015 e oltre,Altro,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente, ,Internazionale,Internazionale,Generico, , , , , , , , ,No, ,0,0,0,9.1,90.9,0,96.5,0,0,3.5,€ 50.000-59.999
25,Open 2016,Altra provincia italiana,2015 e oltre,Impresa sociale,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Internazionale,Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,8.9,0,5.6,9.6,76,0,64.7,24.5,10.8,0,€ 50.000-59.999
26,Open 2016,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Presente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,0,0,8.4,9.9,81.8,0,9.6,56.9,28.4,5,€ 50.000-59.999
27,Open 2016,Torino,2010-2014,Fondazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Nazionale,Internazionale,Specifico,Assente,Assente,Assente,Assente,Assente,Assente,Presente, ,Sì,Fino a € 20.000,0,0,30.2,0,69.8,0,25.6,64.2,10.2,0,€ 20.000-29.999
28,Open 2016,Genova,2010-2014,Cooperativa,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,Sì,Fino a € 20.000,0,0,0,16,84,0,46.4,23.8,29.9,0,€ 50.000-59.999
29,Open 2016,Torino,2015 e oltre,Cooperativa,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Nazionale,Regionale o interregionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,No, ,36.4,0,27.3,0,36.4,0,54.5,36.4,9.1,0,€ 70.000 e oltre
30,Open 2016,Torino,2005-2009,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente, ,Nazionale,Nazionale,Generico, , , , , , , , ,No, ,1.6,0,6.5,11.3,80.6,0,61.3,8.1,24.2,6.5,€ 60.000-69.999
31,Open 2016,Altra provincia italiana,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Regionale o interregionale,Regionale o interregionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,No, ,0,0,1.8,18.2,80,0,58.2,27.6,8,6.2,€ 50.000-59.999
32,Open 2016,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Regionale o interregionale,Specifico,Assente,Assente,Presente,Assente,Assente,Assente,Assente, ,No, ,0,0,2.9,15.2,81.9,0,0,76.2,23.5,.3,€ 30.000-39.999
33,Open 2016,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente, ,Regionale o interregionale,Regionale o interregionale,Generico, , , , , , , , ,No, ,15.4,0,4.6,10.1,67.6,2.3,41.9,44.2,13.8,0,€ 60.000-69.999
34,Open 2016,Torino,Prima del 2000,Associazione,Presente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Internazionale,Specifico,Assente,Assente,Assente,Assente,Assente,Assente,Presente, ,No, ,0,0,0,9.3,90.7,0,4,82.7,13.3,0,€ 30.000-39.999
35,Open 2016,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,Sì,Fino a € 20.000,0,0,10.4,0,89.6,0,58,30,9.7,2.3,€ 40.000-49.999
36,Open 2016,Genova,2005-2009,Altro,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Presente, ,Regionale o interregionale,Regionale o interregionale,Generico, , , , , , , , ,Sì,€ 70.000 e oltre,57.8,0,0,12,30.1,0,19.9,24.7,4.8,50.6,€ 70.000 e oltre
37,Open 2016,Altra provincia italiana,2000-2004,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Regionale o interregionale,Nazionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,No, ,0,20.8,0,0,64.6,14.6,65.6,21.9,5.2,7.3,€ 40.000-49.999
38,Open 2016,Genova,2015 e oltre,Fondazione,Assente,Assente,Presente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Nazionale,Regionale o interregionale,Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,0,0,8,8,84,0,30,30,28,12,€ 50.000-59.999
39,Open 2016,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Internazionale,Generico, , , , , , , , ,No, ,44.8,0,13.3,0,42,0,31,49.6,19.4,0,€ 70.000 e oltre
40,Open 2016,Genova,2010-2014,Cooperativa,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,0,0,0,10.7,89.3,0,58.9,32,9.1,0,€ 50.000-59.999
41,Open 2016,Torino,Prima del 2000,Altro,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Internazionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,No, ,0,0,5.6,0,82.8,11.6,56.9,19.6,9.4,14.1,€ 20.000-29.999
42,Open 2016,Genova,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente, ,Locale (comunale o provinciale),Regionale o interregionale,Generico, , , , , , , , ,No, ,34.1,0,0,12.2,53.7,0,51.2,9.8,39,0,€ 40.000-49.999
43,Open 2016,Genova,Prima del 2000,Fondazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Entrambi,Assente,Assente,Assente,Assente,Assente,Assente,Presente, ,No, ,5.8,0,0,4.2,90,0,83.1,13.6,3.3,0,€ 50.000-59.999
44,Open 2016,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,0,0,0,10.1,89.9,0,65.2,34.8,0,0,€ 40.000-49.999
45,Open 2016,Torino,2000-2004,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Regionale o interregionale,Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,3.7,0,0,10.4,85.9,0,62.6,11.1,11.5,14.8,€ 20.000-29.999
46,Open 2016,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,Regionale o interregionale,Regionale o interregionale,Generico, , , , , , , , ,No, ,0,0,18.2,0,68.2,13.6,22.7,31.8,0,45.5,€ 20.000-29.999
47,Open 2016,Altra provincia italiana,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Regionale o interregionale,Regionale o interregionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,No, ,0,25.1,0,12.1,62.8,0,30.2,32,4.4,33.4,€ 70.000 e oltre
48,Open 2016,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,0,0,0,10.3,89.7,0,55.4,42.1,2.5,0,€ 40.000-49.999
49,Open 2016,Torino,2015 e oltre,"Istruzione, università e ricerca",Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Nazionale,Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,0,0,0,10,90,0,16,62,22,0,Fino a € 20.000
50,Open 2016,Torino,2015 e oltre,Cooperativa,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Nazionale,Internazionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,No, ,22.5,0,0,0,67.5,10,31.5,33.8,26.6,8.1,€ 20.000-29.999
51,Open 2016,Torino,2000-2004,"Istruzione, università e ricerca",Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,0,3.5,0,11.8,84.6,0,70.5,19.8,9.7,0,€ 20.000-29.999
52,Open 2016,Altra provincia ligure,Prima del 2000,Altro,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente, ,Locale (comunale o provinciale),Internazionale,Generico, , , , , , , , ,No, ,4.8,0,0,15.9,79.4,0,39.7,47.2,9.9,3.2,€ 60.000-69.999
53,Open 2016,Cuneo,Prima del 2000,Ente locale,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,22.6,11.8,38.5,4.5,22.6,0,12.2,79.6,8.1,0,€ 70.000 e oltre
54,Open 2016,Cuneo,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente, ,Regionale o interregionale,Nazionale,Generico, , , , , , , , ,No, ,31.6,4.3,37.2,10.7,16.1,0,17.6,70.3,.4,11.7,€ 70.000 e oltre
55,Open 2016,Torino,2005-2009,Cooperativa,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,No, ,0,0,0,10,90,0,82.7,9,8.4,0,€ 50.000-59.999
56,Open 2016,Torino,2000-2004,Altro,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Nazionale,Generico, , , , , , , , ,Sì,€ 70.000 e oltre,0,18.2,18.2,18.2,45.5,0,27.3,59.1,13.6,0,€ 70.000 e oltre
57,Open 2016,Novara,2015 e oltre,Fondazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Assente,Assente,Assente,Assente,Assente,Presente,Assente, ,No, ,0,0,13,10,77,0,8.7,65.4,26,0,€ 20.000-29.999
58,Open 2016,Novara,2015 e oltre,Fondazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Presente, ,Sì,€ 70.000 e oltre,18.4,1.3,17.1,0,62.6,.6,32.3,63.7,2.2,1.8,€ 70.000 e oltre
59,Open 2016,Genova,2005-2009,Associazione,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,Sì,€ 20.000-29.999,1.3,0,0,9,89.8,0,50.9,22.2,26.9,0,€ 30.000-39.999
60,Open 2016,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,0,0,0,0,90,10,36,14.2,12.8,36.9,€ 50.000-59.999
61,Open 2016,Torino,Prima del 2000,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Regionale o interregionale,Generico, , , , , , , , ,Sì,€ 60.000-69.999,3.6,0,0,10,86.4,0,76.6,23.4,0,0,€ 50.000-59.999
62,Open 2016,Torino,2010-2014,Associazione,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Regionale o interregionale,Nazionale,Generico, , , , , , , , ,No, ,5.4,0,0,4.7,89.9,0,55,40.5,4.5,0,€ 50.000-59.999
63,Open 2016,Genova,2015 e oltre,Altro,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,0,30.3,19.7,0,50,0,71.8,28.2,0,0,Fino a € 20.000
64,Open 2016,Genova,Prima del 2000,Associazione,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Regionale o interregionale,Generico, , , , , , , , ,No, ,0,0,0,9.1,90.9,0,24.5,56.4,17.3,1.8,€ 50.000-59.999
65,Open 2016,Torino,2010-2014,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Internazionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Sì,€ 60.000-69.999,8.1,0,51.2,0,40.7,0,38.2,22,4.9,35,€ 70.000 e oltre
66,Open 2016,Altra provincia ligure,Prima del 2000,Ente locale,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,0,0,0,10,90,0,48,10,38,4,€ 50.000-59.999
67,Open 2016,Torino,2010-2014,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,0,6.7,9.2,0,84,0,71.4,13.4,5.9,9.2,€ 50.000-59.999
68,Open 2016,Torino,Prima del 2000,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Regionale o interregionale,Regionale o interregionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Sì,Fino a € 20.000,0,0,23.8,4.8,71.4,0,60.2,16.9,22.9,0,€ 40.000-49.999
69,Open 2016,Torino,2000-2004,"Istruzione, università e ricerca",Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Internazionale,Internazionale,Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Presente, ,No, ,0,0,0,10,90,0,74.2,0,25.8,0,€ 20.000-29.999
70,Open 2016,Novara,2005-2009,Ente locale,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Regionale o interregionale,Generico, , , , , , , , ,Sì,€ 30.000-39.999,4.1,0,1.5,0,75.2,19.2,33.9,64.6,1.5,0,€ 60.000-69.999
71,Open 2016,Altra provincia italiana,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,Nazionale,Nazionale,Generico, , , , , , , , ,No, ,.4,0,.5,12,87.1,0,61.8,10,28.2,0,€ 50.000-59.999
